artifact_key,feature_set,category,model,balance_method,feature,tp_missing_rate,fp_missing_rate,tn_missing_rate,fn_missing_rate,missing_tp_tn_gap,missing_tp_fp_gap,overall_missing_rate,missing_signal_type,group_source,threshold
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
RFERF_RF_ROSE,RFERF,supervised,RF,ROSE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weak,train_oof,0.20232788980713348
